ticket_line_id,ticket_id,store_id,sale_date,product_id,quantity,unit_price_eur,total_eur,vendor_id
TL-0001,TCK-0001,MAG002,2026-08-02,MV-P001,1,7.87,7.87,VND002
TL-0002,TCK-0001,MAG002,2026-08-02,MV-P002,2,9.24,18.48,VND003
TL-0003,TCK-0001,MAG002,2026-08-02,MV-P003,3,10.61,31.83,VND004
TL-0004,TCK-0001,MAG002,2026-08-02,MV-P004,1,11.98,11.98,VND005
TL-0005,TCK-0002,MAG003,2026-08-03,MV-P005,2,13.35,26.70,VND006
TL-0006,TCK-0002,MAG003,2026-08-03,MV-P006,3,14.72,44.16,VND007
TL-0007,TCK-0002,MAG003,2026-08-03,MV-P007,1,16.09,16.09,VND008
TL-0008,TCK-0002,MAG003,2026-08-03,MV-P008,2,17.46,34.92,VND001
TL-0009,TCK-0003,MAG004,2026-08-04,MV-P009,3,18.83,56.49,VND002
TL-0010,TCK-0003,MAG004,2026-08-04,MV-P010,1,20.20,20.20,VND003
TL-0011,TCK-0003,MAG004,2026-08-04,MV-P011,2,21.57,43.14,VND004
TL-0012,TCK-0003,MAG004,2026-08-04,MV-P012,3,22.94,68.82,VND005
TL-0013,TCK-0004,MAG005,2026-08-05,MV-P013,1,24.31,24.31,VND006
TL-0014,TCK-0004,MAG005,2026-08-05,MV-P014,2,25.68,51.36,VND007
TL-0015,TCK-0004,MAG005,2026-08-05,MV-P015,3,27.05,81.15,VND008
TL-0016,TCK-0004,MAG005,2026-08-05,MV-P016,1,28.42,28.42,VND001
TL-0017,TCK-0005,MAG006,2026-08-06,MV-P017,2,29.79,59.58,VND002
TL-0018,TCK-0005,MAG006,2026-08-06,MV-P018,3,31.16,93.48,VND003
TL-0019,TCK-0005,MAG006,2026-08-06,MV-P019,1,32.53,32.53,VND004
TL-0020,TCK-0005,MAG006,2026-08-06,MV-P020,2,33.90,67.80,VND005
TL-0021,TCK-0006,MAG007,2026-08-07,MV-P021,3,35.27,105.81,VND006
TL-0022,TCK-0006,MAG007,2026-08-07,MV-P022,1,36.64,36.64,VND007
TL-0023,TCK-0006,MAG007,2026-08-07,MV-P023,2,38.01,76.02,VND008
TL-0024,TCK-0006,MAG007,2026-08-07,MV-P024,3,39.38,118.14,VND001
TL-0025,TCK-0007,MAG008,2026-08-08,MV-P025,1,40.75,40.75,VND002
TL-0026,TCK-0007,MAG008,2026-08-08,MV-P026,2,42.12,84.24,VND003
TL-0027,TCK-0007,MAG008,2026-08-08,MV-P027,3,43.49,130.47,VND004
TL-0028,TCK-0007,MAG008,2026-08-08,MV-P028,1,44.86,44.86,VND005
TL-0029,TCK-0008,MAG009,2026-08-09,MV-P029,2,46.23,92.46,VND006
TL-0030,TCK-0008,MAG009,2026-08-09,MV-P030,3,47.60,142.80,VND007
TL-0031,TCK-0008,MAG009,2026-08-09,MV-P031,1,48.97,48.97,VND008
TL-0032,TCK-0008,MAG009,2026-08-09,MV-P032,2,50.34,100.68,VND001
TL-0033,TCK-0009,MAG010,2026-08-10,MV-P033,3,51.71,155.13,VND002
TL-0034,TCK-0009,MAG010,2026-08-10,MV-P034,1,53.08,53.08,VND003
TL-0035,TCK-0009,MAG010,2026-08-10,MV-P035,2,54.45,108.90,VND004
TL-0036,TCK-0009,MAG010,2026-08-10,MV-P036,3,55.82,167.46,VND005
TL-0037,TCK-0010,MAG011,2026-08-11,MV-P037,1,57.19,57.19,VND006
TL-0038,TCK-0010,MAG011,2026-08-11,MV-P038,2,58.56,117.12,VND007
TL-0039,TCK-0010,MAG011,2026-08-11,MV-P039,3,59.93,179.79,VND008
TL-0040,TCK-0010,MAG011,2026-08-11,MV-P040,1,61.30,61.30,VND001
TL-0041,TCK-0011,MAG012,2026-08-12,MV-P001,2,7.87,15.74,VND002
TL-0042,TCK-0011,MAG012,2026-08-12,MV-P002,3,9.24,27.72,VND003
TL-0043,TCK-0011,MAG012,2026-08-12,MV-P003,1,10.61,10.61,VND004
TL-0044,TCK-0011,MAG012,2026-08-12,MV-P004,2,11.98,23.96,VND005
TL-0045,TCK-0012,MAG001,2026-08-13,MV-P005,3,13.35,40.05,VND006
TL-0046,TCK-0012,MAG001,2026-08-13,MV-P006,1,14.72,14.72,VND007
TL-0047,TCK-0012,MAG001,2026-08-13,MV-P007,2,16.09,32.18,VND008
TL-0048,TCK-0012,MAG001,2026-08-13,MV-P008,3,17.46,52.38,VND001
TL-0049,TCK-0013,MAG002,2026-08-14,MV-P009,1,18.83,18.83,VND002
TL-0050,TCK-0013,MAG002,2026-08-14,MV-P010,2,20.20,40.40,VND003
TL-0051,TCK-0013,MAG002,2026-08-14,MV-P011,3,21.57,64.71,VND004
TL-0052,TCK-0013,MAG002,2026-08-14,MV-P012,1,22.94,22.94,VND005
TL-0053,TCK-0014,MAG003,2026-08-15,MV-P013,2,24.31,48.62,VND006
TL-0054,TCK-0014,MAG003,2026-08-15,MV-P014,3,25.68,77.04,VND007
TL-0055,TCK-0014,MAG003,2026-08-15,MV-P015,1,27.05,27.05,VND008
TL-0056,TCK-0014,MAG003,2026-08-15,MV-P016,2,28.42,56.84,VND001
TL-0057,TCK-0015,MAG004,2026-08-16,MV-P017,3,29.79,89.37,VND002
TL-0058,TCK-0015,MAG004,2026-08-16,MV-P018,1,31.16,31.16,VND003
TL-0059,TCK-0015,MAG004,2026-08-16,MV-P019,2,32.53,65.06,VND004
TL-0060,TCK-0015,MAG004,2026-08-16,MV-P020,3,33.90,101.70,VND005
TL-0061,TCK-0016,MAG005,2026-08-17,MV-P021,1,35.27,35.27,VND006
TL-0062,TCK-0016,MAG005,2026-08-17,MV-P022,2,36.64,73.28,VND007
TL-0063,TCK-0016,MAG005,2026-08-17,MV-P023,3,38.01,114.03,VND008
TL-0064,TCK-0016,MAG005,2026-08-17,MV-P024,1,39.38,39.38,VND001
TL-0065,TCK-0017,MAG006,2026-08-18,MV-P025,2,40.75,81.50,VND002
TL-0066,TCK-0017,MAG006,2026-08-18,MV-P026,3,42.12,126.36,VND003
TL-0067,TCK-0017,MAG006,2026-08-18,MV-P027,1,43.49,43.49,VND004
TL-0068,TCK-0017,MAG006,2026-08-18,MV-P028,2,44.86,89.72,VND005
TL-0069,TCK-0018,MAG007,2026-08-19,MV-P029,3,46.23,138.69,VND006
TL-0070,TCK-0018,MAG007,2026-08-19,MV-P030,1,47.60,47.60,VND007
TL-0071,TCK-0018,MAG007,2026-08-19,MV-P031,2,48.97,97.94,VND008
